"","ID","Q1","Q2","Q3","Q4","Q5","Q6_1","Q6_2","Q6_3","Q6_4","Q7","female","college","married","regular","status"
"1742",563,2,5,2,6,NA,2,3,4,3,3,0,1,0,1,3
"1944",563,2,5,2,6,NA,2,3,4,3,3,0,1,1,0,3
"339",564,1,6,5,5,5,3,3,3,2,2,0,0,0,1,3
"2346",564,1,6,5,5,5,3,3,3,2,2,0,1,1,1,2
"340",565,1,6,6,1,1,3,2,4,2,2,0,0,0,1,3
"742",565,1,6,6,1,1,3,2,4,2,2,0,0,0,0,4
"2544",565,1,6,6,1,1,3,2,4,2,2,1,1,1,1,2
"2944",565,1,6,6,1,1,3,2,4,2,2,1,0,1,1,2
"1344",566,1,5,2,2,1,4,2,4,2,3,1,0,0,1,3
"1743",566,1,5,2,2,1,4,2,4,2,3,0,1,0,1,3
"1945",566,1,5,2,2,1,4,2,4,2,3,0,1,1,0,3
"3146",566,1,5,2,2,1,4,2,4,2,3,1,0,1,0,3
"943",567,2,4,5,3,2,2,2,5,1,2,1,0,0,0,4
"1142",567,2,4,5,3,2,2,2,5,1,2,1,1,0,0,2
"2545",567,2,4,5,3,2,2,2,5,1,2,1,1,1,1,1
"2945",567,2,4,5,3,2,2,2,5,1,2,1,0,1,1,2
"141",568,1,5,5,2,2,2,3,5,2,3,0,1,0,1,3
"341",568,1,5,5,2,2,2,3,5,2,3,0,0,0,1,3
"1744",568,1,5,5,2,2,2,3,5,2,3,0,1,0,1,4
"3147",568,1,5,5,2,2,2,3,5,2,3,1,0,1,0,4
"1143",569,1,5,5,2,3,4,3,5,1,4,1,1,0,0,3
"1544",569,1,5,5,2,3,4,3,5,1,4,1,1,0,1,3
"2546",569,1,5,5,2,3,4,3,5,1,4,1,1,1,1,2
"2946",569,1,5,5,2,3,4,3,5,1,4,1,0,1,1,2
"543",570,1,5,5,5,5,4,2,4,2,4,0,1,0,0,3
"944",570,1,5,5,5,5,4,2,4,2,4,1,0,0,0,3
"1345",570,1,5,5,5,5,4,2,4,2,4,1,0,0,1,3
"2747",570,1,5,5,5,5,4,2,4,2,4,1,1,1,0,3
"743",571,1,5,5,2,1,1,5,1,3,1,0,0,0,0,4
"1946",571,1,5,5,2,1,1,5,1,3,1,0,1,1,0,4
"2147",571,1,5,5,2,1,1,5,1,3,1,0,0,1,1,3
"2347",571,1,5,5,2,1,1,5,1,3,1,0,1,1,1,3
"342",572,1,3,5,2,2,5,5,5,5,5,0,0,0,1,5
"544",572,1,3,5,2,2,5,5,5,5,5,0,1,0,0,5
"1947",572,1,3,5,2,2,5,5,5,5,5,0,1,1,0,5
"2148",572,1,3,5,2,2,5,5,5,5,5,0,0,1,1,5
"945",573,1,6,6,1,2,3,3,3,3,2,1,0,0,0,3
"1545",573,1,6,6,1,2,3,3,3,3,2,1,1,0,1,2
"2947",573,1,6,6,1,2,3,3,3,3,2,1,0,1,1,2
"3148",573,1,6,6,1,2,3,3,3,3,2,1,0,1,0,3
"1144",574,1,4,5,NA,3,1,4,3,5,3,1,1,0,0,3
"1346",574,1,4,5,NA,3,1,4,3,5,3,1,0,0,1,3
"1745",574,1,4,5,NA,3,1,4,3,5,3,0,1,0,1,3
"2748",574,1,4,5,NA,3,1,4,3,5,3,1,1,1,0,3
"142",575,1,5,6,6,NA,2,2,4,2,3,0,1,0,1,2
"1145",575,1,5,6,6,NA,2,2,4,2,3,1,1,0,0,3
"2948",575,1,5,6,6,NA,2,2,4,2,3,1,0,1,1,2
