"","ID","Q1","Q2","Q3","Q4","Q5","Q6_1","Q6_2","Q6_3","Q6_4","Q7","female","college","married","regular","status"
"1598",790,2,5,2,5,5,2,3,5,1,2,1,1,0,1,2
"2601",790,2,5,2,5,5,2,3,5,1,2,1,1,1,1,2
"196",791,2,3,2,3,4,3,1,5,1,4,0,1,0,1,2
"2402",791,2,3,2,3,4,3,1,5,1,4,0,1,1,1,1
"3002",791,2,3,2,3,4,3,1,5,1,4,1,0,1,1,3
"3202",791,2,3,2,3,4,3,1,5,1,4,1,0,1,0,3
"396",792,2,5,4,6,NA,2,3,3,3,3,0,0,0,1,4
"1401",792,2,5,4,6,NA,2,3,3,3,3,1,0,0,1,4
"1800",792,2,5,4,6,NA,2,3,3,3,3,0,1,0,1,4
"2803",792,2,5,4,6,NA,2,3,3,3,3,1,1,1,0,4
"599",793,1,5,2,3,7,4,3,4,2,4,0,1,0,0,3
"999",793,1,5,2,3,7,4,3,4,2,4,1,0,0,0,3
"1200",793,1,5,2,3,7,4,3,4,2,4,1,1,0,0,2
"1801",793,1,5,2,3,7,4,3,4,2,4,0,1,0,1,3
"197",794,1,6,2,6,NA,2,4,3,3,3,0,1,0,1,2
"799",794,1,6,2,6,NA,2,4,3,3,3,0,0,0,0,3
"3003",794,1,6,2,6,NA,2,4,3,3,3,1,0,1,1,2
"3203",794,1,6,2,6,NA,2,4,3,3,3,1,0,1,0,3
"1402",795,2,5,5,6,NA,2,3,3,2,2,1,0,0,1,3
"2002",795,2,5,5,6,NA,2,3,3,2,2,0,1,1,0,3
"2203",795,2,5,5,6,NA,2,3,3,2,2,0,0,1,1,3
"2403",795,2,5,5,6,NA,2,3,3,2,2,0,1,1,1,2
"397",796,1,5,3,6,NA,4,2,5,2,3,0,0,0,1,4
"1599",796,1,5,3,6,NA,4,2,5,2,3,1,1,0,1,4
"2602",796,1,5,3,6,NA,4,2,5,2,3,1,1,1,1,2
"2804",796,1,5,3,6,NA,4,2,5,2,3,1,1,1,0,2
"600",797,2,6,5,3,5,3,3,4,3,2,0,1,0,0,2
"1802",797,2,6,5,3,5,3,3,4,3,2,0,1,0,1,2
"2603",797,2,6,5,3,5,3,3,4,3,2,1,1,1,1,2
"2805",797,2,6,5,3,5,3,3,4,3,2,1,1,1,0,2
"198",798,1,5,3,2,3,3,3,4,1,2,0,1,0,1,2
"398",798,1,5,3,2,3,3,3,4,1,2,0,0,0,1,4
"1600",798,1,5,3,2,3,3,3,4,1,2,1,1,0,1,3
"3004",798,1,5,3,2,3,3,3,4,1,2,1,0,1,1,4
"1403",799,1,6,2,6,NA,4,2,5,2,4,1,0,0,1,2
"2003",799,1,6,2,6,NA,4,2,5,2,4,0,1,1,0,2
"2204",799,1,6,2,6,NA,4,2,5,2,4,0,0,1,1,2
"2404",799,1,6,2,6,NA,4,2,5,2,4,0,1,1,1,2
"800",800,2,5,2,6,NA,4,2,5,2,5,0,0,0,0,3
"1000",800,2,5,2,6,NA,4,2,5,2,5,1,0,0,0,3
"1201",800,2,5,2,6,NA,4,2,5,2,5,1,1,0,0,3
"3204",800,2,5,2,6,NA,4,2,5,2,5,1,0,1,0,3
"199",801,1,5,6,2,2,2,2,3,3,2,0,1,0,1,3
"1202",801,1,5,6,2,2,2,2,3,3,2,1,1,0,0,4
"2604",801,1,5,6,2,2,2,2,3,3,2,1,1,1,1,3
"2806",801,1,5,6,2,2,2,2,3,3,2,1,1,1,0,4
"801",802,1,5,NA,2,7,2,3,5,1,4,0,0,0,0,4
"1001",802,1,5,NA,2,7,2,3,5,1,4,1,0,0,0,4
"1404",802,1,5,NA,2,7,2,3,5,1,4,1,0,0,1,3
"2405",802,1,5,NA,2,7,2,3,5,1,4,0,1,1,1,2
"1601",803,2,6,4,4,3,3,1,5,2,3,1,1,0,1,2
"1803",803,2,6,4,4,3,3,1,5,2,3,0,1,0,1,3
"2004",803,2,6,4,4,3,3,1,5,2,3,0,1,1,0,3
"3205",803,2,6,4,4,3,3,1,5,2,3,1,0,1,0,3
"399",804,1,3,5,2,5,2,3,3,2,2,0,0,0,1,2
"601",804,1,3,5,2,5,2,3,3,2,2,0,1,0,0,3
"2205",804,1,3,5,2,5,2,3,3,2,2,0,0,1,1,2
"3005",804,1,3,5,2,5,2,3,3,2,2,1,0,1,1,2
"400",805,1,6,5,3,5,2,3,3,3,3,0,0,0,1,3
"1602",805,1,6,5,3,5,2,3,3,3,3,1,1,0,1,3
"2005",805,1,6,5,3,5,2,3,3,3,3,0,1,1,0,2
"2206",805,1,6,5,3,5,2,3,3,3,3,0,0,1,1,2
